"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
945,"P51665","PSMD7","26S proteasome non-ATPase regulatory subunit 7 ",1,"Non-Exosome","0.922"," 0.570 +/- 0.140","-0.811","0.275 +/- 0.025","-1.862",2,20.6
946,"P51970","NDUFA8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 ",1,"Non-Exosome","0.705"," 0.205 +/- 0.015","-2.286","0.110 +/- 0.010","-3.184",1,11.7
947,"P52272-2","HNRNPM","Isoform 2 of Heterogeneous nuclear ribonucleoprotein M ",1,"Non-Exosome","0.892"," 0.359 +/- 0.009","-1.477","0.195 +/- 0.008","-2.357",15,28.9
948,"P52292","KPNA2","Importin subunit alpha-1 ",1,"Non-Exosome","0.918"," 0.425 +/- 0.041","-1.236","0.240 +/- 0.085","-2.057",5,21.2
949,"P52565","ARHGDIA","Rho GDP-dissociation inhibitor 1 ",1,"Non-Exosome","0.891"," 0.782 +/- 0.164","-0.354","0.412 +/- 0.084","-1.281",5,25.9
950,"M0R0E4","PSG9","Pregnancy-specific beta-1-glycoprotein 9 ",0.0028,"Non-Exosome","0.921"," 0.602 +/- 0.182","-0.731","0.288 +/- 0.128","-1.798",1,0
951,"P52566","ARHGDIB","Rho GDP-dissociation inhibitor 2 ",1,"Non-Exosome","0.846"," 0.800 +/- 0.006","-0.322","0.550 +/- 0.010","-0.864",4,36.7
952,"P52701-3","MSH6","Isoform 3 of DNA mismatch repair protein Msh6 ",1,"Non-Exosome","0.854"," 0.643 +/- 0.097","-0.637","0.626 +/- 0.404","-0.676",6,7.8
953,"P52907","CAPZA1","F-actin-capping protein subunit alpha-1 ",1,"Non-Exosome","0.783"," 1.165 +/- 0.389"," 0.220","0.420 +/- 0.060","-1.252",3,14.3
954,"P52948-5","NUP98","Isoform 5 of Nuclear pore complex protein Nup98-Nup96 ",1,"Non-Exosome","0.922"," 0.372 +/- 0.192","-1.428","0.307 +/- 0.027","-1.705",3,4
955,"P53007","SLC25A1","Tricarboxylate transport protein; mitochondrial ",1,"Non-Exosome","0.732"," 0.312 +/- 0.007","-1.678","0.100 +/- 0.000","-3.322",2,12.5
956,"P53350","PLK1","Serine/threonine-protein kinase PLK1 ",1,"Non-Exosome","0.855"," 0.838 +/- 0.228","-0.256","0.500 +/- 0.050","-1.000",2,9.1
957,"P53367-2","ARFIP1","Isoform A of Arfaptin-1 ",1,"Non-Exosome","0.912"," 0.590 +/- 0.030","-0.761","0.455 +/- 0.085","-1.136",2,9.3
958,"P53396-2","ACLY","Isoform 2 of ATP-citrate synthase ",1,"Non-Exosome","0.920"," 0.586 +/- 0.017","-0.772","0.271 +/- 0.016","-1.883",16,15.7
959,"P53597","SUCLG1","Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha; mitochondrial ",1,"Non-Exosome","0.926"," 0.479 +/- 0.163","-1.061","0.396 +/- 0.034","-1.336",4,22.5
960,"P53618","COPB1","Coatomer subunit beta ",1,"Non-Exosome","0.901"," 0.734 +/- 0.036","-0.447","0.405 +/- 0.000","-1.305",9,12.6
961,"P53990-2","IST1","Isoform 2 of IST1 homolog ",1,"Exosome","0.869"," 2.048 +/- 0.487"," 1.035","1.633 +/- 0.407"," 0.708",8,18.8
962,"P53992","SEC24C","Protein transport protein Sec24C ",1,"Non-Exosome","0.915"," 0.540 +/- 0.130","-0.889","0.238 +/- 0.030","-2.071",5,4.6
963,"P53999","SUB1","Activated RNA polymerase II transcriptional coactivator p15 ",1,"Non-Exosome","0.897"," 0.720 +/- 0.326","-0.475","0.444 +/- 0.310","-1.172",5,47.2
964,"P54136","RARS","Arginine--tRNA ligase; cytoplasmic ",1,"Non-Exosome","0.927"," 0.488 +/- 0.091","-1.036","0.282 +/- 0.009","-1.824",13,22.3
965,"P14415","ATP1B2","Sodium/potassium-transporting ATPase subunit beta-2 ",0.0043,"Non-Exosome","0.784"," 1.150 +/- 0.200"," 0.202","0.430 +/- 0.030","-1.218",1,0
966,"P54709","ATP1B3","Sodium/potassium-transporting ATPase subunit beta-3 ",1,"Non-Exosome","0.738"," 1.107 +/- 0.268"," 0.146","0.551 +/- 0.142","-0.861",8,30.1
967,"P54725-2","RAD23A","Isoform 2 of UV excision repair protein RAD23 homolog A ",0.9998,"Non-Exosome","0.574"," 1.215 +/- 0.482"," 0.281","0.718 +/- 0.208","-0.479",3,18.7
968,"P54727","RAD23B","UV excision repair protein RAD23 homolog B ",1,"Non-Exosome","0.799"," 0.896 +/- 0.063","-0.159","0.585 +/- 0.069","-0.772",5,10.8
969,"P30085","CMPK1","UMP-CMP kinase ",1,"Non-Exosome","0.924"," 0.530 +/- 0.044","-0.917","0.271 +/- 0.067","-1.885",3,20.1
970,"P54819-2","AK2","Isoform 2 of Adenylate kinase 2; mitochondrial ",1,"Non-Exosome","0.889"," 0.398 +/- 0.075","-1.329","0.185 +/- 0.072","-2.438",3,18.4
971,"P55011","SLC12A2","Solute carrier family 12 member 2 ",1,"Non-Exosome","0.819"," 0.790 +/- 0.250","-0.340","0.618 +/- 0.278","-0.695",3,3.4
972,"P55060-3","CSE1L","Isoform 3 of Exportin-2 ",1,"Non-Exosome","0.927"," 0.528 +/- 0.171","-0.923","0.292 +/- 0.011","-1.778",16,25.6
973,"O43933","PEX1","Peroxisome biogenesis factor 1 ",1,"Non-Exosome","0.890"," 0.438 +/- 0.092","-1.193","0.185 +/- 0.015","-2.434",3,3.6
974,"P04114","APOB","Apolipoprotein B-100 ",1,"Exosome","0.825"," 4.115 +/- 1.213"," 2.041","1.246 +/- 0.389"," 0.318",11,3.6
975,"P43686-2","PSMC4","Isoform 2 of 26S protease regulatory subunit 6B ",1,"Non-Exosome","0.765"," 0.368 +/- 0.012","-1.444","0.109 +/- 0.009","-3.201",3,7.8
975,"P55072","VCP","Transitional endoplasmic reticulum ATPase ",1,"Non-Exosome","0.913"," 0.696 +/- 0.057","-0.524","0.329 +/- 0.008","-1.606",17,27.7
975,"P62191","PSMC1","26S protease regulatory subunit 4 ",1,"Non-Exosome","0.927"," 0.416 +/- 0.026","-1.264","0.330 +/- 0.118","-1.599",8,17.5
975,"P62333","PSMC6","26S protease regulatory subunit 10B ",1,"Non-Exosome","0.921"," 0.525 +/- 0.125","-0.930","0.258 +/- 0.019","-1.955",8,27
975,"Q9Y4W6","AFG3L2","AFG3-like protein 2 ",1,"Non-Exosome","0.856"," 0.334 +/- 0.064","-1.581","0.159 +/- 0.049","-2.651",7,9
976,"P55084","HADHB","Trifunctional enzyme subunit beta; mitochondrial ",1,"Non-Exosome","0.871"," 0.374 +/- 0.057","-1.418","0.167 +/- 0.003","-2.579",10,26.6
977,"P55145","MANF","Mesencephalic astrocyte-derived neurotrophic factor ",1,"Non-Exosome","0.919"," 0.597 +/- 0.101","-0.744","0.271 +/- 0.012","-1.885",7,38.5
978,"P55196-1","MLLT4","Isoform 2 of Afadin ",1,"Exosome","0.809"," 2.215 +/- 0.095"," 1.147","1.048 +/- 1.028"," 0.067",3,3.5
979,"C9J1B1","NAP1L4","Nucleosome assembly protein 1-like 4 (Fragment) ",0.0092,"Non-Exosome","0.917"," 0.445 +/- 0.095","-1.168","0.235 +/- 0.055","-2.089",1,0
979,"Q99733-2","NAP1L4","Isoform 2 of Nucleosome assembly protein 1-like 4 ",0.9971,"Non-Exosome","0.874"," 0.493 +/- 0.070","-1.021","0.170 +/- 0.023","-2.560",2,11.5
979,"P55209-2","NAP1L1","Isoform 2 of Nucleosome assembly protein 1-like 1 ",1,"Non-Exosome","0.893"," 0.562 +/- 0.093","-0.832","0.199 +/- 0.069","-2.328",3,13.3
980,"P55263-2","ADK","Isoform 2 of Adenosine kinase ",1,"Non-Exosome","0.875"," 0.470 +/- 0.180","-1.089","0.170 +/- 0.050","-2.556",2,9.3
981,"P55268","LAMB2","Laminin subunit beta-2 ",1,"Non-Exosome","0.889"," 0.805 +/- 0.153","-0.312","0.399 +/- 0.033","-1.327",10,9.6
982,"P55735-2","SEC13","Isoform 2 of Protein SEC13 homolog ",1,"Non-Exosome","0.696"," 0.225 +/- 0.005","-2.152","0.100 +/- 0.010","-3.322",2,23.2
983,"P55786","NPEPPS","Puromycin-sensitive aminopeptidase ",1,"Non-Exosome","0.909"," 0.718 +/- 0.122","-0.479","0.318 +/- 0.028","-1.655",2,3.9
984,"P55884-2","EIF3B","Isoform 2 of Eukaryotic translation initiation factor 3 subunit B ",1,"Non-Exosome","0.917"," 0.657 +/- 0.180","-0.606","0.311 +/- 0.005","-1.684",7,12
985,"P56192","MARS","Methionine--tRNA ligase; cytoplasmic ",1,"Non-Exosome","0.923"," 0.592 +/- 0.069","-0.757","0.380 +/- 0.108","-1.398",11,16.3
986,"P57088","TMEM33","Transmembrane protein 33 ",1,"Non-Exosome","0.925"," 0.404 +/- 0.093","-1.307","0.290 +/- 0.008","-1.785",4,24.8
987,"Q86VV8-3","RTTN","Isoform 3 of Rotatin ",0.9896,"Non-Exosome","0.906"," 0.712 +/- 0.242","-0.489","0.398 +/- 0.122","-1.331",3,1.5
987,"P57678","GEMIN4","Gem-associated protein 4 ",0.9987,"Non-Exosome","0.884"," 0.370 +/- 0.100","-1.434","0.182 +/- 0.092","-2.454",2,1.4
988,"P57740-2","NUP107","Isoform 2 of Nuclear pore complex protein Nup107 ",1,"Non-Exosome","0.832"," 0.330 +/- 0.000","-1.599","0.142 +/- 0.042","-2.811",2,3.8
989,"P58335-4","ANTXR2","Isoform 4 of Anthrax toxin receptor 2 ",1,"Exosome","0.713"," 1.572 +/- 0.302"," 0.653","0.988 +/- 0.057","-0.018",4,11.2
990,"P59998-3","ARPC4","Isoform 3 of Actin-related protein 2/3 complex subunit 4 ",1,"Non-Exosome","0.835"," 0.926 +/- 0.010","-0.111","0.485 +/- 0.176","-1.044",3,20.2
991,"P60033","CD81","CD81 antigen ",1,"Exosome","1.000"," 8.189 +/- 1.191"," 3.034","5.557 +/- 2.120"," 2.474",3,27.1
992,"P60174-1","TPI1","Isoform 2 of Triosephosphate isomerase ",1,"Non-Exosome","0.901"," 0.736 +/- 0.045","-0.443","0.407 +/- 0.050","-1.297",9,57
993,"P60228","EIF3E","Eukaryotic translation initiation factor 3 subunit E ",1,"Non-Exosome","0.868"," 0.835 +/- 0.415","-0.260","0.460 +/- 0.230","-1.120",3,16.6
994,"H0YI43","MYL6","Myosin light polypeptide 6 (Fragment) ",0.0288,"Non-Exosome","0.925"," 0.575 +/- 0.003","-0.799","0.368 +/- 0.102","-1.442",4,0
994,"P60660-2","MYL6","Isoform Smooth muscle of Myosin light polypeptide 6 ",1,"Non-Exosome","0.913"," 0.666 +/- 0.017","-0.587","0.393 +/- 0.037","-1.347",7,54.5
995,"B8ZZJ2","ACTG2","Actin; gamma-enteric smooth muscle ",0.0624,"Non-Exosome","0.921"," 0.519 +/- 0.009","-0.945","0.255 +/- 0.017","-1.972",5,0
995,"Q9BYX7","POTEKP","Putative beta-actin-like protein 3 ",0.0695,"Non-Exosome","0.900"," 0.770 +/- 0.024","-0.377","0.316 +/- 0.032","-1.661",10,0
995,"K7EM38","ACTG1","Actin; cytoplasmic 2; N-terminally processed (Fragment) ",0.1144,"Non-Exosome","0.922"," 0.611 +/- 0.010","-0.710","0.357 +/- 0.071","-1.484",11,78.9
995,"I3L4N8","ACTG1","Actin; cytoplasmic 2 (Fragment) ",0.1331,"Non-Exosome","0.925"," 0.582 +/- 0.012","-0.780","0.323 +/- 0.032","-1.628",14,58.9
995,"P60709","ACTB","Actin; cytoplasmic 1 ",1,"Non-Exosome","0.912"," 0.693 +/- 0.010","-0.528","0.367 +/- 0.019","-1.446",26,58.4
995,"P68032","ACTC1","Actin; alpha cardiac muscle 1 ",1,"Non-Exosome","0.914"," 0.683 +/- 0.002","-0.550","0.341 +/- 0.015","-1.550",15,34
996,"P38919","EIF4A3","Eukaryotic initiation factor 4A-III ",1,"Non-Exosome","0.835"," 0.325 +/- 0.005","-1.620","0.145 +/- 0.021","-2.785",8,20.9
996,"P60842","EIF4A1","Eukaryotic initiation factor 4A-I ",1,"Non-Exosome","0.905"," 0.392 +/- 0.001","-1.353","0.212 +/- 0.013","-2.241",15,32
996,"Q14240-2","EIF4A2","Isoform 2 of Eukaryotic initiation factor 4A-II ",1,"Non-Exosome","0.896"," 0.376 +/- 0.037","-1.410","0.198 +/- 0.040","-2.340",12,32
997,"P60866-2","RPS20","Isoform 2 of 40S ribosomal protein S20 ",1,"Non-Exosome","0.928"," 0.542 +/- 0.186","-0.885","0.348 +/- 0.054","-1.521",2,25.2
998,"P60900-2","PSMA6","Isoform 2 of Proteasome subunit alpha type-6 ",1,"Non-Exosome","0.615"," 1.825 +/- 0.925"," 0.868","0.360 +/- 0.010","-1.474",3,23.6
999,"P61088","UBE2N","Ubiquitin-conjugating enzyme E2 N ",1,"Non-Exosome","0.901"," 0.765 +/- 0.045","-0.386","0.340 +/- 0.210","-1.556",2,16.2
1000,"P61158","ACTR3","Actin-related protein 3 ",1,"Non-Exosome","0.920"," 0.548 +/- 0.218","-0.867","0.257 +/- 0.077","-1.962",4,18.9
1001,"P61160","ACTR2","Actin-related protein 2 ",0.0571,"Non-Exosome","0.900"," 0.683 +/- 0.008","-0.551","0.459 +/- 0.049","-1.124",7,0
1002,"P61160-2","ACTR2","Isoform 2 of Actin-related protein 2 ",1,"Non-Exosome","0.900"," 0.683 +/- 0.008","-0.551","0.459 +/- 0.049","-1.124",7,22.3
1003,"P42025","ACTR1B","Beta-centractin ",1,"Non-Exosome","0.801"," 1.113 +/- 0.312"," 0.154","0.418 +/- 0.108","-1.260",3,15.4
1003,"P61163","ACTR1A","Alpha-centractin ",1,"Non-Exosome","0.801"," 1.113 +/- 0.312"," 0.154","0.418 +/- 0.108","-1.260",3,13.6
1004,"P61201-2","COPS2","Isoform 2 of COP9 signalosome complex subunit 2 ",1,"Non-Exosome","0.925"," 0.588 +/- 0.212","-0.767","0.355 +/- 0.035","-1.494",2,5.8
1005,"P61204","ARF3","ADP-ribosylation factor 3 ",1,"Non-Exosome","0.895"," 0.714 +/- 0.158","-0.486","0.456 +/- 0.024","-1.132",3,27.8
1006,"P61221","ABCE1","ATP-binding cassette sub-family E member 1 ",1,"Non-Exosome","0.928"," 0.464 +/- 0.007","-1.107","0.367 +/- 0.067","-1.447",5,10.4
1007,"P01116-2","KRAS","Isoform 2B of GTPase KRas ",0.9873,"Exosome","0.782"," 1.528 +/- 0.331"," 0.612","1.250 +/- 0.325"," 0.322",4,29.8
1007,"P01111","NRAS","GTPase NRas ",1,"Exosome","0.788"," 1.540 +/- 0.138"," 0.623","1.268 +/- 0.182"," 0.343",8,45.5
1007,"P01112","HRAS","GTPase HRas ",1,"Exosome","0.689"," 1.410 +/- 0.169"," 0.496","1.032 +/- 0.137"," 0.045",6,35.4
1007,"P61224-3","RAP1B","Isoform 3 of Ras-related protein Rap-1b ",1,"Exosome","0.678"," 1.425 +/- 0.044"," 0.511","0.995 +/- 0.007","-0.008",7,41.2
1007,"P62834","RAP1A","Ras-related protein Rap-1A ",1,"Exosome","0.681"," 1.428 +/- 0.056"," 0.514","0.998 +/- 0.053","-0.002",5,33.2
1008,"P61247","RPS3A","40S ribosomal protein S3a ",1,"Non-Exosome","0.898"," 0.401 +/- 0.006","-1.317","0.198 +/- 0.005","-2.340",12,47.3
1009,"P61254","RPL26","60S ribosomal protein L26 ",1,"Non-Exosome","0.905"," 0.410 +/- 0.053","-1.286","0.209 +/- 0.018","-2.257",3,34.4
1010,"P61289-2","PSME3","Isoform 2 of Proteasome activator complex subunit 3 ",1,"Non-Exosome","0.924"," 0.525 +/- 0.025","-0.930","0.403 +/- 0.057","-1.310",3,20.2
1011,"P61313","RPL15","60S ribosomal protein L15 ",1,"Non-Exosome","0.920"," 0.638 +/- 0.008","-0.649","0.322 +/- 0.041","-1.634",4,34.5
1012,"P61353","RPL27","60S ribosomal protein L27 ",1,"Non-Exosome","0.896"," 0.353 +/- 0.056","-1.501","0.203 +/- 0.046","-2.299",6,47.8
1013,"P61421","ATP6V0D1","V-type proton ATPase subunit d 1 ",1,"Non-Exosome","0.899"," 0.772 +/- 0.208","-0.374","0.302 +/- 0.088","-1.729",3,20.3
1014,"P61604","HSPE1","10 kDa heat shock protein; mitochondrial ",1,"Non-Exosome","0.684"," 0.228 +/- 0.012","-2.132","0.095 +/- 0.006","-3.398",6,62.7
1015,"P61619","SEC61A1","Protein transport protein Sec61 subunit alpha isoform 1 ",1,"Non-Exosome","0.851"," 0.388 +/- 0.078","-1.365","0.150 +/- 0.007","-2.733",2,13.4
1016,"P61803","DAD1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 ",1,"Non-Exosome","0.926"," 0.547 +/- 0.061","-0.870","0.295 +/- 0.091","-1.761",2,25.9
1017,"P61956-2","SUMO2","Isoform 2 of Small ubiquitin-related modifier 2 ",1,"Non-Exosome","0.927"," 0.465 +/- 0.165","-1.105","0.285 +/- 0.025","-1.811",1,31
1018,"P61978-2","HNRNPK","Isoform 2 of Heterogeneous nuclear ribonucleoprotein K ",1,"Non-Exosome","0.928"," 0.496 +/- 0.099","-1.013","0.298 +/- 0.039","-1.746",13,38.9
1019,"P10301","RRAS","Ras-related protein R-Ras ",0.9978,"Non-Exosome","0.874"," 0.797 +/- 0.067","-0.328","0.472 +/- 0.232","-1.084",2,10.6
1020,"P62070-3","RRAS2","Isoform 3 of Ras-related protein R-Ras2 ",1,"Exosome","0.573"," 1.301 +/- 0.373"," 0.380","0.877 +/- 0.441","-0.189",3,21.7
1021,"P62081","RPS7","40S ribosomal protein S7 ",1,"Non-Exosome","0.896"," 0.479 +/- 0.007","-1.062","0.194 +/- 0.024","-2.365",3,12.9
1022,"P62136","PPP1CA","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit ",1,"Non-Exosome","0.910"," 0.690 +/- 0.023","-0.534","0.388 +/- 0.101","-1.366",8,21.8
1023,"P62140","PPP1CB","Serine/threonine-protein phosphatase PP1-beta catalytic subunit ",1,"Non-Exosome","0.904"," 0.693 +/- 0.088","-0.529","0.426 +/- 0.065","-1.229",6,15.9
1024,"P62158","CALM1","Calmodulin ",1,"Non-Exosome","0.774"," 0.919 +/- 0.171","-0.122","0.617 +/- 0.056","-0.696",4,44.3
1025,"P62195-2","PSMC5","Isoform 2 of 26S protease regulatory subunit 8 ",1,"Non-Exosome","0.925"," 0.411 +/- 0.039","-1.283","0.289 +/- 0.079","-1.791",6,16.6
1026,"P62241","RPS8","40S ribosomal protein S8 ",1,"Non-Exosome","0.912"," 0.414 +/- 0.002","-1.272","0.224 +/- 0.013","-2.161",7,42.8
1027,"P62244","RPS15A","40S ribosomal protein S15a ",1,"Non-Exosome","0.898"," 0.536 +/- 0.009","-0.899","0.202 +/- 0.013","-2.308",5,61
1027,"H3BN98","","Uncharacterized protein (Fragment) ",1,"Non-Exosome","0.898"," 0.531 +/- 0.030","-0.912","0.202 +/- 0.019","-2.307",5,23.2
1028,"M0R3H0","RPS16","40S ribosomal protein S16 ",0.1042,"Non-Exosome","0.926"," 0.544 +/- 0.146","-0.879","0.294 +/- 0.068","-1.766",4,53
1028,"Q6IPX4","RPS16","40S ribosomal protein S16 ",0.1042,"Non-Exosome","0.926"," 0.466 +/- 0.082","-1.102","0.276 +/- 0.071","-1.859",2,21.7
1028,"P62249","RPS16","40S ribosomal protein S16 ",1,"Non-Exosome","0.924"," 0.486 +/- 0.110","-1.042","0.264 +/- 0.043","-1.921",5,49.6
1029,"P27348","YWHAQ","14-3-3 protein theta ",1,"Non-Exosome","0.851"," 0.880 +/- 0.016","-0.184","0.476 +/- 0.058","-1.070",8,46.9
1029,"P31946-2","YWHAB","Isoform Short of 14-3-3 protein beta/alpha ",1,"Non-Exosome","0.873"," 0.808 +/- 0.023","-0.308","0.466 +/- 0.037","-1.101",9,44.3
1029,"P61981","YWHAG","14-3-3 protein gamma ",1,"Non-Exosome","0.860"," 0.857 +/- 0.034","-0.222","0.468 +/- 0.057","-1.096",7,34.8
1029,"P62258","YWHAE","14-3-3 protein epsilon ",1,"Non-Exosome","0.754"," 1.025 +/- 0.044"," 0.035","0.580 +/- 0.089","-0.787",13,48.2
1029,"P63104","YWHAZ","14-3-3 protein zeta/delta ",1,"Non-Exosome","0.532"," 1.172 +/- 0.194"," 0.229","0.803 +/- 0.234","-0.316",8,39.6
1029,"Q04917","YWHAH","14-3-3 protein eta ",1,"Non-Exosome","0.868"," 0.843 +/- 0.025","-0.246","0.454 +/- 0.049","-1.140",6,25.6
1030,"P62263","RPS14","40S ribosomal protein S14 ",1,"Non-Exosome","0.809"," 0.535 +/- 0.167","-0.902","0.131 +/- 0.051","-2.932",3,36.4
1031,"P62269","RPS18","40S ribosomal protein S18 ",1,"Non-Exosome","0.926"," 0.554 +/- 0.130","-0.851","0.372 +/- 0.101","-1.426",5,37.5
1032,"Q15751","HERC1","Probable E3 ubiquitin-protein ligase HERC1 ",0.9206,"Non-Exosome","0.833"," 0.243 +/- 0.033","-2.039","0.175 +/- 0.005","-2.515",1,0.9
1033,"Q15386","UBE3C","Ubiquitin-protein ligase E3C ",0.9996,"Non-Exosome","0.924"," 0.595 +/- 0.025","-0.749","0.308 +/- 0.048","-1.697",3,1.4
1033,"P62277","RPS13","40S ribosomal protein S13 ",1,"Non-Exosome","0.925"," 0.472 +/- 0.056","-1.083","0.269 +/- 0.013","-1.894",5,25.2
1034,"P62280","RPS11","40S ribosomal protein S11 ",1,"Non-Exosome","0.886"," 0.362 +/- 0.020","-1.466","0.186 +/- 0.006","-2.430",9,50.8
1035,"P62304","SNRPE","Small nuclear ribonucleoprotein E ",1,"Non-Exosome","0.922"," 0.600 +/- 0.207","-0.737","0.373 +/- 0.187","-1.421",2,25
1036,"P62316","SNRPD2","Small nuclear ribonucleoprotein Sm D2 ",1,"Non-Exosome","0.870"," 0.358 +/- 0.050","-1.481","0.168 +/- 0.002","-2.573",4,28.8
1037,"P62424","RPL7A","60S ribosomal protein L7a ",1,"Non-Exosome","0.903"," 0.416 +/- 0.031","-1.264","0.205 +/- 0.014","-2.283",11,41.4
1038,"P62495","ETF1","Eukaryotic peptide chain release factor subunit 1 ",1,"Non-Exosome","0.929"," 0.503 +/- 0.043","-0.990","0.308 +/- 0.002","-1.697",3,11.6
1039,"A6NH36","RPS4X","40S ribosomal protein S4; X isoform ",0.011,"Non-Exosome","0.918"," 0.362 +/- 0.035","-1.466","0.277 +/- 0.030","-1.852",1,0
1040,"Q8TD47","RPS4Y2","40S ribosomal protein S4; Y isoform 2 ",0.0219,"Non-Exosome","0.908"," 0.349 +/- 0.037","-1.517","0.235 +/- 0.027","-2.090",4,0
1040,"P22090","RPS4Y1","40S ribosomal protein S4; Y isoform 1 ",0.9139,"Non-Exosome","0.920"," 0.398 +/- 0.102","-1.329","0.256 +/- 0.074","-1.966",4,19.8
1040,"P62701","RPS4X","40S ribosomal protein S4; X isoform ",1,"Non-Exosome","0.904"," 0.333 +/- 0.042","-1.585","0.235 +/- 0.024","-2.088",8,40.3
1041,"P62714","PPP2CB","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform ",1,"Non-Exosome","0.898"," 0.738 +/- 0.278","-0.438","0.265 +/- 0.035","-1.916",2,13.6
1042,"P62750","RPL23A","60S ribosomal protein L23a ",1,"Non-Exosome","0.874"," 0.328 +/- 0.044","-1.606","0.180 +/- 0.008","-2.478",5,37.2
1043,"P62753","RPS6","40S ribosomal protein S6 ",1,"Non-Exosome","0.870"," 0.834 +/- 0.015","-0.262","0.454 +/- 0.028","-1.139",4,23.3
1044,"P62805","HIST1H4A","Histone H4 ",1,"Non-Exosome","0.857"," 0.359 +/- 0.005","-1.478","0.157 +/- 0.016","-2.671",8,60.2
1045,"O95716","RAB3D","Ras-related protein Rab-3D ",0.0026,"Non-Exosome","0.821"," 0.880 +/- 0.080","-0.184","0.552 +/- 0.005","-0.858",4,0
1045,"Q96E17","RAB3C","Ras-related protein Rab-3C ",0.005,"Non-Exosome","0.827"," 0.870 +/- 0.070","-0.201","0.545 +/- 0.001","-0.876",5,0
1045,"Q5JT25-2","RAB41","Isoform 2 of Ras-related protein Rab-41 ",0.006,"Non-Exosome","0.828"," 0.860 +/- 0.103","-0.218","0.551 +/- 0.023","-0.860",4,0
1045,"E9PLD0","RAB1B","Ras-related protein Rab-1B ",0.0152,"Non-Exosome","0.927"," 0.563 +/- 0.006","-0.828","0.350 +/- 0.041","-1.514",5,0
1045,"Q92928","RAB1C","Putative Ras-related protein Rab-1C ",0.0244,"Non-Exosome","0.905"," 0.691 +/- 0.051","-0.533","0.427 +/- 0.045","-1.229",8,0
1045,"P51159","RAB27A","Ras-related protein Rab-27A ",0.9846,"Non-Exosome","0.796"," 0.917 +/- 0.084","-0.125","0.578 +/- 0.005","-0.791",4,5.4
1045,"Q6IQ22","RAB12","Ras-related protein Rab-12 ",0.9993,"Non-Exosome","0.814"," 0.885 +/- 0.116","-0.177","0.562 +/- 0.020","-0.830",4,9
1045,"P20340-2","RAB6A","Isoform 2 of Ras-related protein Rab-6A ",0.9999,"Non-Exosome","0.838"," 0.842 +/- 0.085","-0.248","0.540 +/- 0.012","-0.889",5,17.8
1045,"Q8WUD1","RAB2B","Ras-related protein Rab-2B ",0.9999,"Non-Exosome","0.910"," 0.442 +/- 0.048","-1.176","0.218 +/- 0.108","-2.201",2,15.7
1045,"P20339","RAB5A","Ras-related protein Rab-5A ",1,"Non-Exosome","0.922"," 0.617 +/- 0.026","-0.698","0.332 +/- 0.054","-1.589",4,25.4
1045,"P51148-2","RAB5C","Isoform 2 of Ras-related protein Rab-5C ",1,"Non-Exosome","0.920"," 0.635 +/- 0.025","-0.655","0.359 +/- 0.047","-1.478",4,30.1
1045,"P51153","RAB13","Ras-related protein Rab-13 ",1,"Non-Exosome","0.921"," 0.622 +/- 0.010","-0.685","0.370 +/- 0.024","-1.435",6,21.7
1045,"P61006","RAB8A","Ras-related protein Rab-8A ",1,"Non-Exosome","0.884"," 0.737 +/- 0.032","-0.439","0.483 +/- 0.011","-1.051",10,34.8
1045,"P61019-2","RAB2A","Isoform 2 of Ras-related protein Rab-2A ",1,"Non-Exosome","0.919"," 0.494 +/- 0.088","-1.017","0.244 +/- 0.098","-2.034",4,35.1
1045,"P61026","RAB10","Ras-related protein Rab-10 ",1,"Non-Exosome","0.890"," 0.763 +/- 0.000","-0.390","0.435 +/- 0.002","-1.201",12,40
1045,"P61106","RAB14","Ras-related protein Rab-14 ",1,"Non-Exosome","0.870"," 0.801 +/- 0.161","-0.320","0.482 +/- 0.059","-1.052",8,36.5
1045,"P61225","RAP2B","Ras-related protein Rap-2b ",1,"Exosome","0.865"," 2.042 +/- 0.648"," 1.030","2.677 +/- 1.103"," 1.420",2,18
1045,"P61586","RHOA","Transforming protein RhoA ",1,"Non-Exosome","0.881"," 0.779 +/- 0.068","-0.360","0.460 +/- 0.064","-1.120",7,31.1
1045,"P62820","RAB1A","Ras-related protein Rab-1A ",1,"Non-Exosome","0.907"," 0.684 +/- 0.052","-0.548","0.421 +/- 0.035","-1.248",10,39.5
1045,"Q15286","RAB35","Ras-related protein Rab-35 ",1,"Non-Exosome","0.777"," 0.909 +/- 0.041","-0.138","0.619 +/- 0.057","-0.692",8,28.6
1045,"Q8IXI1","RHOT2","Mitochondrial Rho GTPase 2 ",1,"Exosome","0.658"," 1.710 +/- 1.620"," 0.774","0.815 +/- 0.385","-0.295",2,7.9
