"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"Q12797-10","Isoform 10 of Aspartyl/asparaginyl beta-hydroxylase ","ASPH",1146," 0.248 +/- 0.002","-2.010","0.145 +/- 0.042","-2.790","Non-Exosome","0.801"
"H3BMK2","Syntaxin-4 ","STX4",1147," 1.430 +/- 0.710"," 0.516","1.425 +/- 0.935"," 0.511","Exosome","0.793"
"Q12846","Syntaxin-4 ","STX4",1148," 1.185 +/- 0.412"," 0.245","0.920 +/- 0.290","-0.120","Exosome","0.550"
"Q12874","Splicing factor 3A subunit 3 ","SF3A3",1149," 0.238 +/- 0.007","-2.074","0.065 +/- 0.015","-3.943","Non-Exosome","0.591"
"Q12906-2","Isoform 2 of Interleukin enhancer-binding factor 3 ","ILF3",1150," 0.486 +/- 0.106","-1.040","0.226 +/- 0.038","-2.143","Non-Exosome","0.913"
"Q12907","Vesicular integral-membrane protein VIP36 ","LMAN2",1151," 0.240 +/- 0.000","-2.059","0.140 +/- 0.031","-2.832","Non-Exosome","0.789"
"Q12913","Receptor-type tyrosine-protein phosphatase eta ","PTPRJ",1152," 1.144 +/- 0.320"," 0.194","0.624 +/- 0.014","-0.680","Non-Exosome","0.674"
"Q12979-2","Isoform Short of Active breakpoint cluster region-related protein ","ABR",1153," 0.350 +/- 0.200","-1.515","0.265 +/- 0.065","-1.916","Non-Exosome","0.914"
"Q13045-2","Isoform 2 of Protein flightless-1 homolog ","FLII",1154," 0.606 +/- 0.166","-0.723","0.369 +/- 0.031","-1.438","Non-Exosome","0.922"
"Q13085-2","Isoform 2 of Acetyl-CoA carboxylase 1 ","ACACA",1155," 0.450 +/- 0.140","-1.152","0.325 +/- 0.035","-1.621","Non-Exosome","0.929"
"Q13148","TAR DNA-binding protein 43 ","TARDBP",1156," 0.595 +/- 0.055","-0.749","0.355 +/- 0.145","-1.494","Non-Exosome","0.923"
"Q13162","Peroxiredoxin-4 ","PRDX4",1157," 0.430 +/- 0.021","-1.218","0.234 +/- 0.066","-2.096","Non-Exosome","0.915"
"Q13177","Serine/threonine-protein kinase PAK 2 ","PAK2",1158," 0.488 +/- 0.088","-1.037","0.162 +/- 0.012","-2.621","Non-Exosome","0.865"
"Q13185","Chromobox protein homolog 3 ","CBX3",1159," 0.212 +/- 0.007","-2.234","0.125 +/- 0.015","-3.000","Non-Exosome","0.741"
"Q13200-2","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 2 ","PSMD2",1160," 0.533 +/- 0.032","-0.907","0.247 +/- 0.016","-2.020","Non-Exosome","0.917"
"Q13242","Serine/arginine-rich splicing factor 9 ","SRSF9",1161," 0.711 +/- 0.196","-0.492","0.341 +/- 0.071","-1.551","Non-Exosome","0.910"
"Q13243-3","Isoform SRP40-4 of Serine/arginine-rich splicing factor 5 ","SRSF5",1162," 0.585 +/- 0.015","-0.773","0.229 +/- 0.033","-2.124","Non-Exosome","0.907"
"Q13247-3","Isoform SRP55-3 of Serine/arginine-rich splicing factor 6 ","SRSF6",1163," 0.479 +/- 0.016","-1.061","0.266 +/- 0.011","-1.913","Non-Exosome","0.924"
"Q13263","Transcription intermediary factor 1-beta ","TRIM28",1164," 0.388 +/- 0.100","-1.366","0.237 +/- 0.041","-2.076","Non-Exosome","0.914"
"Q13347","Eukaryotic translation initiation factor 3 subunit I ","EIF3I",1165," 0.551 +/- 0.139","-0.859","0.358 +/- 0.048","-1.484","Non-Exosome","0.926"
"H0Y9M9","C-terminal-binding protein 1 (Fragment) ","CTBP1",1166," 0.268 +/- 0.058","-1.902","0.492 +/- 0.392","-1.022","Non-Exosome","0.852"
"O43175","D-3-phosphoglycerate dehydrogenase ","PHGDH",1167," 0.469 +/- 0.134","-1.092","0.279 +/- 0.144","-1.841","Non-Exosome","0.926"
"Q13363-2","Isoform 2 of C-terminal-binding protein 1 ","CTBP1",1168," 0.268 +/- 0.058","-1.902","0.492 +/- 0.392","-1.022","Non-Exosome","0.852"
"Q13404-6","Isoform 4 of Ubiquitin-conjugating enzyme E2 variant 1 ","UBE2V1",1169," 0.920 +/- 0.240","-0.120","0.382 +/- 0.018","-1.386","Non-Exosome","0.864"
"Q15819","Ubiquitin-conjugating enzyme E2 variant 2 ","UBE2V2",1170," 0.770 +/- 0.010","-0.377","0.385 +/- 0.045","-1.377","Non-Exosome","0.897"
"Q13404-1","Isoform 1 of Ubiquitin-conjugating enzyme E2 variant 1 ","UBE2V1",1171," 0.812 +/- 0.082","-0.301","0.386 +/- 0.034","-1.372","Non-Exosome","0.888"
"Q13409-2","Isoform 2B of Cytoplasmic dynein 1 intermediate chain 2 ","DYNC1I2",1172," 0.338 +/- 0.058","-1.567","0.160 +/- 0.060","-2.644","Non-Exosome","0.856"
"Q13423","NAD(P) transhydrogenase; mitochondrial ","NNT",1173," 0.572 +/- 0.030","-0.806","0.328 +/- 0.041","-1.610","Non-Exosome","0.926"
"Q13425-2","Isoform 2 of Beta-2-syntrophin ","SNTB2",1174," 1.540 +/- 0.660"," 0.623","2.025 +/- 0.225"," 1.018","Exosome","0.843"
"Q13435","Splicing factor 3B subunit 2 ","SF3B2",1175," 0.353 +/- 0.013","-1.502","0.146 +/- 0.032","-2.771","Non-Exosome","0.841"
"Q13443","Disintegrin and metalloproteinase domain-containing protein 9 ","ADAM9",1176," 1.461 +/- 0.066"," 0.547","1.060 +/- 0.200"," 0.084","Exosome","0.714"
"Q13501","Sequestosome-1 ","SQSTM1",1177," 0.425 +/- 0.022","-1.234","0.222 +/- 0.085","-2.174","Non-Exosome","0.911"
"Q13530","Serine incorporator 3 ","SERINC3",1178," 3.067 +/- 0.743"," 1.617","2.591 +/- 0.572"," 1.373","Exosome","0.880"
"F5H223","Dynactin subunit 2 ","DCTN2",1179," 0.555 +/- 0.075","-0.849","0.310 +/- 0.040","-1.690","Non-Exosome","0.926"
"Q13561-2","Isoform 2 of Dynactin subunit 2 ","DCTN2",1180," 0.605 +/- 0.125","-0.725","0.370 +/- 0.020","-1.434","Non-Exosome","0.922"
"Q13618-2","Isoform 2 of Cullin-3 ","CUL3",1181," 0.610 +/- 0.020","-0.713","0.247 +/- 0.023","-2.019","Non-Exosome","0.910"
"Q13620-1","Isoform 2 of Cullin-4B ","CUL4B",1182," 0.645 +/- 0.025","-0.633","0.365 +/- 0.075","-1.454","Non-Exosome","0.918"
"Q15118-2","Isoform 2 of [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1; mitochondrial ","PDK1",1183," 0.645 +/- 0.025","-0.633","0.365 +/- 0.075","-1.454","Non-Exosome","0.918"
"Q9UNH7-2","Isoform 2 of Sorting nexin-6 ","SNX6",1184," 0.582 +/- 0.015","-0.782","0.230 +/- 0.057","-2.120","Non-Exosome","0.907"
"Q13724-2","Isoform 2 of Mannosyl-oligosaccharide glucosidase ","MOGS",1185," 0.507 +/- 0.007","-0.981","0.245 +/- 0.052","-2.030","Non-Exosome","0.918"
"Q13740-2","Isoform 2 of CD166 antigen ","ALCAM",1186," 1.463 +/- 0.086"," 0.549","0.842 +/- 0.140","-0.249","Exosome","0.609"
"Q13813-2","Isoform 2 of Spectrin alpha chain; non-erythrocytic 1 ","SPTAN1",1187," 0.582 +/- 0.022","-0.781","0.343 +/- 0.006","-1.545","Non-Exosome","0.925"
"H0YCC6","Spliceosome RNA helicase DDX39B (Fragment) ","DDX39B",1188," 0.277 +/- 0.057","-1.852","0.195 +/- 0.045","-2.358","Non-Exosome","0.867"
"O00148-2","Isoform 2 of ATP-dependent RNA helicase DDX39A ","DDX39A",1189," 0.305 +/- 0.003","-1.714","0.185 +/- 0.052","-2.436","Non-Exosome","0.871"
"B1Q2N1","ATP-dependent RNA helicase DDX39A ","DDX39",1190," 0.292 +/- 0.016","-1.776","0.181 +/- 0.056","-2.467","Non-Exosome","0.863"
"K7EPJ3","ATP-dependent RNA helicase DDX39A (Fragment) ","DDX39A",1191," 0.294 +/- 0.024","-1.764","0.176 +/- 0.060","-2.505","Non-Exosome","0.860"
"Q5STU3","Spliceosome RNA helicase DDX39B ","DDX39B",1192," 0.345 +/- 0.002","-1.534","0.197 +/- 0.049","-2.347","Non-Exosome","0.890"
"O00148","ATP-dependent RNA helicase DDX39A ","DDX39A",1192," 0.346 +/- 0.038","-1.530","0.214 +/- 0.023","-2.226","Non-Exosome","0.899"
"Q13838-2","Isoform 2 of Spliceosome RNA helicase DDX39B ","DDX39B",1192," 0.374 +/- 0.030","-1.420","0.223 +/- 0.023","-2.166","Non-Exosome","0.907"
"Q9NR09","Baculoviral IAP repeat-containing protein 6 ","BIRC6",1193," 2.072 +/- 0.428"," 1.051","1.412 +/- 0.568"," 0.497","Exosome","0.856"
"Q13895","Bystin ","BYSL",1193," 0.885 +/- 0.295","-0.176","0.265 +/- 0.080","-1.916","Non-Exosome","0.868"
"Q13951-2","Isoform 2 of Core-binding factor subunit beta ","CBFB",1194," 0.592 +/- 0.102","-0.755","0.282 +/- 0.032","-1.824","Non-Exosome","0.920"
"Q14019","Coactosin-like protein ","COTL1",1195," 0.866 +/- 0.137","-0.208","0.622 +/- 0.105","-0.685","Non-Exosome","0.790"
"O14979-2","Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like ","HNRNPDL",1196," 0.335 +/- 0.049","-1.578","0.206 +/- 0.038","-2.279","Non-Exosome","0.893"
"Q14103-2","Isoform 2 of Heterogeneous nuclear ribonucleoprotein D0 ","HNRNPD",1196," 0.449 +/- 0.111","-1.157","0.208 +/- 0.023","-2.267","Non-Exosome","0.905"
"Q14103-3","Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0 ","HNRNPD",1196," 0.449 +/- 0.111","-1.157","0.208 +/- 0.023","-2.267","Non-Exosome","0.905"
"Q99729-2","Isoform 2 of Heterogeneous nuclear ribonucleoprotein A/B ","HNRNPAB",1196," 0.361 +/- 0.004","-1.469","0.242 +/- 0.032","-2.044","Non-Exosome","0.911"
"Q14108-2","Isoform 2 of Lysosome membrane protein 2 ","SCARB2",1197," 0.767 +/- 0.367","-0.383","0.605 +/- 0.515","-0.725","Non-Exosome","0.831"
"Q14137","Ribosome biogenesis protein BOP1 ","BOP1",1198," 0.375 +/- 0.059","-1.414","0.290 +/- 0.064","-1.788","Non-Exosome","0.921"
"Q14152","Eukaryotic translation initiation factor 3 subunit A ","EIF3A",1199," 0.456 +/- 0.014","-1.133","0.318 +/- 0.005","-1.651","Non-Exosome","0.929"
"Q14160-2","Isoform 2 of Protein scribble homolog ","SCRIB",1200," 0.652 +/- 0.052","-0.616","0.192 +/- 0.022","-2.377","Non-Exosome","0.875"
"Q14165","Malectin ","MLEC",1201," 0.567 +/- 0.185","-0.818","0.234 +/- 0.046","-2.097","Non-Exosome","0.910"
"Q14204","Cytoplasmic dynein 1 heavy chain 1 ","DYNC1H1",1202," 0.619 +/- 0.017","-0.691","0.357 +/- 0.056","-1.485","Non-Exosome","0.921"
"Q14254","Flotillin-2 ","FLOT2",1203," 0.785 +/- 0.083","-0.349","0.559 +/- 0.144","-0.839","Non-Exosome","0.846"
"Q14257-2","Isoform 2 of Reticulocalbin-2 ","RCN2",1204," 0.702 +/- 0.358","-0.511","0.148 +/- 0.002","-2.753","Non-Exosome","0.810"
"Q14376","UDP-glucose 4-epimerase ","GALE",1205," 0.355 +/- 0.075","-1.494","0.168 +/- 0.003","-2.578","Non-Exosome","0.868"
"Q14498-2","Isoform 2 of RNA-binding protein 39 ","RBM39",1206," 0.724 +/- 0.024","-0.465","0.496 +/- 0.054","-1.012","Non-Exosome","0.882"
"Q14558-2","Isoform 2 of Phosphoribosyl pyrophosphate synthase-associated protein 1 ","PRPSAP1",1207," 0.378 +/- 0.108","-1.405","0.288 +/- 0.132","-1.798","Non-Exosome","0.921"
"Q14643-2","Isoform 2 of Inositol 1;4;5-trisphosphate receptor type 1 ","ITPR1",1208," 0.400 +/- 0.067","-1.322","0.303 +/- 0.047","-1.721","Non-Exosome","0.925"
"Q14573","Inositol 1;4;5-trisphosphate receptor type 3 ","ITPR3",1209," 0.417 +/- 0.017","-1.262","0.262 +/- 0.056","-1.932","Non-Exosome","0.922"
"Q14694-2","Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 10 ","USP10",1210," 0.462 +/- 0.148","-1.112","0.282 +/- 0.092","-1.824","Non-Exosome","0.926"
"Q14697-2","Isoform 2 of Neutral alpha-glucosidase AB ","GANAB",1211," 0.496 +/- 0.012","-1.010","0.297 +/- 0.051","-1.752","Non-Exosome","0.928"
"Q14699","Raftlin ","RFTN1",1212," 1.103 +/- 0.062"," 0.141","0.962 +/- 0.102","-0.055","Exosome","0.536"
"Q14739","Lamin-B receptor ","LBR",1213," 0.382 +/- 0.102","-1.390","0.140 +/- 0.030","-2.837","Non-Exosome","0.834"
"Q14764","Major vault protein ","MVP",1214," 0.934 +/- 0.081","-0.099","0.385 +/- 0.052","-1.378","Non-Exosome","0.860"
"Q14839-2","Isoform 2 of Chromodomain-helicase-DNA-binding protein 4 ","CHD4",1215," 0.427 +/- 0.157","-1.229","0.367 +/- 0.217","-1.447","Non-Exosome","0.926"
"Q14847","LIM and SH3 domain protein 1 ","LASP1",1216," 1.018 +/- 0.148"," 0.025","0.561 +/- 0.051","-0.833","Non-Exosome","0.766"
"Q14974","Importin subunit beta-1 ","KPNB1",1217," 0.574 +/- 0.074","-0.800","0.245 +/- 0.034","-2.028","Non-Exosome","0.914"
"Q15005","Signal peptidase complex subunit 2 ","SPCS2",1218," 0.511 +/- 0.121","-0.968","0.218 +/- 0.018","-2.201","Non-Exosome","0.908"
"Q15006","ER membrane protein complex subunit 2 ","EMC2",1219," 0.272 +/- 0.042","-1.876","0.175 +/- 0.095","-2.515","Non-Exosome","0.850"
"Q15008-4","Isoform 4 of 26S proteasome non-ATPase regulatory subunit 6 ","PSMD6",1220," 0.413 +/- 0.125","-1.276","0.201 +/- 0.030","-2.311","Non-Exosome","0.900"
"Q15020","Squamous cell carcinoma antigen recognized by T-cells 3 ","SART3",1221," 0.383 +/- 0.093","-1.383","0.263 +/- 0.073","-1.925","Non-Exosome","0.919"
"Q15029-2","Isoform 2 of 116 kDa U5 small nuclear ribonucleoprotein component ","EFTUD2",1222," 0.430 +/- 0.174","-1.217","0.217 +/- 0.025","-2.207","Non-Exosome","0.909"
"Q15046-2","Isoform Mitochondrial of Lysine--tRNA ligase ","KARS",1223," 0.533 +/- 0.041","-0.909","0.238 +/- 0.005","-2.071","Non-Exosome","0.915"
"Q15059-2","Isoform 2 of Bromodomain-containing protein 3 ","BRD3",1224,"12.715 +/- 7.785"," 3.668","6.610 +/- 1.020"," 2.725","Exosome","0.818"
"Q15102","Platelet-activating factor acetylhydrolase IB subunit gamma ","PAFAH1B3",1225," 0.738 +/- 0.135","-0.438","0.427 +/- 0.050","-1.229","Non-Exosome","0.896"
"P58107","Epiplakin ","EPPK1",1226," 0.463 +/- 0.028","-1.110","0.228 +/- 0.030","-2.131","Non-Exosome","0.914"
"Q15149","Plectin ","PLEC",1227," 0.625 +/- 0.013","-0.679","0.340 +/- 0.014","-1.558","Non-Exosome","0.921"
"Q9H2U2-3","Isoform 3 of Inorganic pyrophosphatase 2; mitochondrial ","PPA2",1228," 0.443 +/- 0.013","-1.174","0.211 +/- 0.009","-2.246","Non-Exosome","0.906"
"Q15181","Inorganic pyrophosphatase ","PPA1",1229," 0.455 +/- 0.158","-1.137","0.280 +/- 0.066","-1.838","Non-Exosome","0.926"
"Q9H2U2-2","Isoform 2 of Inorganic pyrophosphatase 2; mitochondrial ","PPA2",1230," 0.472 +/- 0.042","-1.083","0.233 +/- 0.013","-2.102","Non-Exosome","0.915"
"Q15185-3","Isoform 3 of Prostaglandin E synthase 3 ","PTGES3",1231," 0.474 +/- 0.078","-1.079","0.260 +/- 0.048","-1.941","Non-Exosome","0.923"
"C9IZL7","Non-POU domain-containing octamer-binding protein (Fragment) ","NONO",1232," 0.319 +/- 0.054","-1.647","0.167 +/- 0.011","-2.580","Non-Exosome","0.860"
"C9J4X2","Non-POU domain-containing octamer-binding protein (Fragment) ","NONO",1233," 0.254 +/- 0.007","-1.977","0.128 +/- 0.009","-2.969","Non-Exosome","0.777"
"C9JYS8","Non-POU domain-containing octamer-binding protein (Fragment) ","NONO",1233," 0.360 +/- 0.051","-1.473","0.182 +/- 0.004","-2.454","Non-Exosome","0.882"
"H7C367","Non-POU domain-containing octamer-binding protein (Fragment) ","NONO",1233," 0.546 +/- 0.044","-0.874","0.289 +/- 0.025","-1.792","Non-Exosome","0.925"
"Q15233-2","Isoform 2 of Non-POU domain-containing octamer-binding protein ","NONO",1233," 0.456 +/- 0.042","-1.133","0.232 +/- 0.032","-2.108","Non-Exosome","0.915"
"Q15293","Reticulocalbin-1 ","RCN1",1234," 0.368 +/- 0.048","-1.443","0.214 +/- 0.026","-2.222","Non-Exosome","0.903"
"Q15363","Transmembrane emp24 domain-containing protein 2 ","TMED2",1235," 0.501 +/- 0.104","-0.998","0.328 +/- 0.182","-1.607","Non-Exosome","0.929"
"Q15365","Poly(rC)-binding protein 1 ","PCBP1",1236," 0.494 +/- 0.169","-1.017","0.349 +/- 0.094","-1.520","Non-Exosome","0.929"
"Q15366-2","Isoform 2 of Poly(rC)-binding protein 2 ","PCBP2",1236," 0.643 +/- 0.109","-0.637","0.288 +/- 0.106","-1.793","Non-Exosome","0.916"
"I3L0M9","Transcription elongation factor B polypeptide 2 (Fragment) ","TCEB2",1237," 0.537 +/- 0.123","-0.898","0.257 +/- 0.073","-1.962","Non-Exosome","0.920"
"Q15370-2","Isoform 2 of Transcription elongation factor B polypeptide 2 ","TCEB2",1237," 0.537 +/- 0.123","-0.898","0.257 +/- 0.073","-1.962","Non-Exosome","0.920"
"O75116","Rho-associated protein kinase 2 ","ROCK2",1238," 0.617 +/- 0.037","-0.697","0.458 +/- 0.258","-1.126","Non-Exosome","0.908"
"Q15382","GTP-binding protein Rheb ","RHEB",1238," 0.661 +/- 0.072","-0.598","0.282 +/- 0.047","-1.824","Non-Exosome","0.913"
"Q9Y512","Sorting and assembly machinery component 50 homolog ","SAMM50",1238," 0.506 +/- 0.061","-0.982","0.414 +/- 0.104","-1.273","Non-Exosome","0.923"
"Q15392","Delta(24)-sterol reductase ","DHCR24",1239," 0.359 +/- 0.111","-1.479","0.240 +/- 0.010","-2.059","Non-Exosome","0.910"
"Q15393","Splicing factor 3B subunit 3 ","SF3B3",1240," 0.608 +/- 0.002","-0.719","0.293 +/- 0.009","-1.769","Non-Exosome","0.920"
"Q15424-2","Isoform 2 of Scaffold attachment factor B1 ","SAFB",1241," 0.381 +/- 0.169","-1.392","0.168 +/- 0.070","-2.573","Non-Exosome","0.871"
"Q15459-2","Isoform 2 of Splicing factor 3A subunit 1 ","SF3A1",1242," 0.302 +/- 0.042","-1.729","0.103 +/- 0.083","-3.275","Non-Exosome","0.739"
"Q15582","Transforming growth factor-beta-induced protein ig-h3 ","TGFBI",1243," 0.712 +/- 0.012","-0.489","0.435 +/- 0.007","-1.200","Non-Exosome","0.899"
"Q15599-3","Isoform 3 of Na(+)/H(+) exchange regulatory cofactor NHE-RF2 ","SLC9A3R2",1244," 1.045 +/- 0.065"," 0.064","0.470 +/- 0.200","-1.089","Non-Exosome","0.802"
"Q15645","Pachytene checkpoint protein 2 homolog ","TRIP13",1245," 0.460 +/- 0.017","-1.122","0.223 +/- 0.020","-2.165","Non-Exosome","0.912"
"Q9UPY8-2","Isoform 2 of Microtubule-associated protein RP/EB family member 3 ","MAPRE3",1246," 0.748 +/- 0.238","-0.420","0.386 +/- 0.081","-1.374","Non-Exosome","0.901"
"Q15691","Microtubule-associated protein RP/EB family member 1 ","MAPRE1",1247," 0.591 +/- 0.141","-0.759","0.390 +/- 0.044","-1.360","Non-Exosome","0.921"
"Q15717","ELAV-like protein 1 ","ELAVL1",1248," 0.519 +/- 0.051","-0.947","0.290 +/- 0.062","-1.787","Non-Exosome","0.926"
"Q15758","Neutral amino acid transporter B(0) ","SLC1A5",1249," 2.451 +/- 0.616"," 1.293","1.742 +/- 0.226"," 0.801","Exosome","0.881"
"Q15773","Myeloid leukemia factor 2 ","MLF2",1250," 2.862 +/- 1.592"," 1.517","1.619 +/- 0.034"," 0.695","Exosome","0.877"
"Q15836","Vesicle-associated membrane protein 3 ","VAMP3",1251," 0.972 +/- 0.045","-0.041","0.615 +/- 0.145","-0.701","Non-Exosome","0.753"
"Q15907","Ras-related protein Rab-11B ","RAB11B",1252," 1.033 +/- 0.138"," 0.047","0.525 +/- 0.039","-0.929","Non-Exosome","0.780"
"Q15942","Zyxin ","ZYX",1253," 0.542 +/- 0.322","-0.882","0.292 +/- 0.162","-1.773","Non-Exosome","0.925"
"Q16401-2","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 5 ","PSMD5",1254," 0.554 +/- 0.104","-0.853","0.351 +/- 0.104","-1.509","Non-Exosome","0.926"
"Q16513-2","Isoform 2 of Serine/threonine-protein kinase N2 ","PKN2",1255," 0.425 +/- 0.135","-1.234","0.270 +/- 0.040","-1.889","Non-Exosome","0.924"
"Q16531","DNA damage-binding protein 1 ","DDB1",1256," 0.450 +/- 0.140","-1.152","0.182 +/- 0.152","-2.454","Non-Exosome","0.887"
"K7EL68","Hsp90 co-chaperone Cdc37 (Fragment) ","CDC37",1257," 0.825 +/- 0.485","-0.278","0.640 +/- 0.030","-0.644","Non-Exosome","0.795"
"Q16543","Hsp90 co-chaperone Cdc37 ","CDC37",1258," 0.655 +/- 0.135","-0.610","0.448 +/- 0.038","-1.160","Non-Exosome","0.905"
"Q16555-2","Isoform 2 of Dihydropyrimidinase-related protein 2 ","DPYSL2",1259," 0.481 +/- 0.059","-1.057","0.309 +/- 0.126","-1.693","Non-Exosome","0.929"
"Q16576","Histone-binding protein RBBP7 ","RBBP7",1260," 0.497 +/- 0.069","-1.008","0.231 +/- 0.049","-2.116","Non-Exosome","0.914"
"Q16658","Fascin ","FSCN1",1261," 0.792 +/- 0.148","-0.336","0.515 +/- 0.050","-0.957","Non-Exosome","0.860"
"Q16698","2;4-dienoyl-CoA reductase; mitochondrial ","DECR1",1262," 0.426 +/- 0.052","-1.229","0.193 +/- 0.005","-2.375","Non-Exosome","0.895"
"Q16762","Thiosulfate sulfurtransferase ","TST",1263," 0.960 +/- 0.240","-0.059","0.580 +/- 0.150","-0.786","Non-Exosome","0.778"
"Q16822","Phosphoenolpyruvate carboxykinase [GTP]; mitochondrial ","PCK2",1264," 0.290 +/- 0.110","-1.786","0.332 +/- 0.168","-1.592","Non-Exosome","1.000"
"Q16851-2","Isoform 2 of UTP--glucose-1-phosphate uridylyltransferase ","UGP2",1265," 0.599 +/- 0.086","-0.739","0.300 +/- 0.047","-1.735","Non-Exosome","0.922"
"C9J406","Mitochondrial inner membrane protein ","IMMT",1266," 0.394 +/- 0.009","-1.344","0.244 +/- 0.012","-2.033","Non-Exosome","0.916"
"Q16891-2","Isoform 2 of Mitochondrial inner membrane protein ","IMMT",1267," 0.392 +/- 0.008","-1.350","0.240 +/- 0.016","-2.057","Non-Exosome","0.915"
"Q2NL82","Pre-rRNA-processing protein TSR1 homolog ","TSR1",1268," 0.535 +/- 0.225","-0.902","0.305 +/- 0.125","-1.713","Non-Exosome","0.927"
"Q32P28","Prolyl 3-hydroxylase 1 ","LEPRE1",1269," 0.368 +/- 0.078","-1.444","0.160 +/- 0.015","-2.644","Non-Exosome","0.861"
"Q53EZ4","Centrosomal protein of 55 kDa ","CEP55",1270," 1.488 +/- 0.338"," 0.573","1.127 +/- 0.181"," 0.172","Exosome","0.743"
"Q53GQ0","Estradiol 17-beta-dehydrogenase 12 ","HSD17B12",1271," 0.355 +/- 0.007","-1.493","0.138 +/- 0.002","-2.862","Non-Exosome","0.827"
"Q53H12","Acylglycerol kinase; mitochondrial ","AGK",1272," 0.450 +/- 0.095","-1.151","0.257 +/- 0.027","-1.961","Non-Exosome","0.922"
"Q56VL3","OCIA domain-containing protein 2 ","OCIAD2",1273," 0.465 +/- 0.033","-1.106","0.236 +/- 0.049","-2.082","Non-Exosome","0.917"
"Q5JTH9-2","Isoform 2 of RRP12-like protein ","RRP12",1274," 0.549 +/- 0.189","-0.866","0.119 +/- 0.044","-3.072","Non-Exosome","0.778"
"Q5JTV8","Torsin-1A-interacting protein 1 ","TOR1AIP1",1275," 0.465 +/- 0.105","-1.105","0.152 +/- 0.102","-2.713","Non-Exosome","0.853"
"Q5SRE5","Nucleoporin NUP188 homolog ","NUP188",1276," 0.775 +/- 0.095","-0.368","0.390 +/- 0.100","-1.358","Non-Exosome","0.895"
"Q5T4S7-2","Isoform 2 of E3 ubiquitin-protein ligase UBR4 ","UBR4",1277," 0.398 +/- 0.062","-1.328","0.162 +/- 0.052","-2.629","Non-Exosome","0.866"
"Q5T6V5","UPF0553 protein C9orf64 ","C9orf64",1278," 0.543 +/- 0.173","-0.880","0.311 +/- 0.036","-1.686","Non-Exosome","0.927"
"Q5TGZ0","Mitochondrial inner membrane organizing system protein 1 ","MINOS1",1279," 0.245 +/- 0.000","-2.029","0.181 +/- 0.026","-2.467","Non-Exosome","0.838"
"Q5VW32","BRO1 domain-containing protein BROX ","BROX",1280," 2.217 +/- 0.171"," 1.149","1.494 +/- 0.016"," 0.579","Exosome","0.867"
"C9J338","TRAF2 and NCK-interacting protein kinase (Fragment) ","TNIK",1281," 0.375 +/- 0.015","-1.415","0.164 +/- 0.024","-2.608","Non-Exosome","0.867"
"Q8NCM8-2","Isoform 2 of Cytoplasmic dynein 2 heavy chain 1 ","DYNC2H1",1282," 1.433 +/- 0.034"," 0.519","0.944 +/- 0.084","-0.082","Exosome","0.654"
"O95819-2","Isoform 2 of Mitogen-activated protein kinase kinase kinase kinase 4 ","MAP4K4",1283," 0.485 +/- 0.125","-1.044","0.256 +/- 0.068","-1.963","Non-Exosome","0.922"
"Q5VYK3","Proteasome-associated protein ECM29 homolog ","ECM29",1284," 0.395 +/- 0.168","-1.341","0.203 +/- 0.043","-2.301","Non-Exosome","0.900"
"Q5ZPR3-4","Isoform 4 of CD276 antigen ","CD276",1285," 1.212 +/- 0.172"," 0.278","0.745 +/- 0.225","-0.425","Non-Exosome","0.555"
