"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"P62424","RPL7A","60S ribosomal protein L7a ","GO:0005829 Cytosol","Non-Exosome"
"P62495","ETF1","Eukaryotic peptide chain release factor subunit 1 ","","Non-Exosome"
"A6NH36","RPS4X","40S ribosomal protein S4; X isoform ","GO:0005829 Cytosol","Non-Exosome"
"Q8TD47","RPS4Y2","40S ribosomal protein S4; Y isoform 2 ","","Non-Exosome"
"P22090","RPS4Y1","40S ribosomal protein S4; Y isoform 1 ","GO:0005829 Cytosol","Non-Exosome"
"P62701","RPS4X","40S ribosomal protein S4; X isoform ","GO:0005829 Cytosol","Non-Exosome"
"P62714","PPP2CB","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform ","","Non-Exosome"
"P62750","RPL23A","60S ribosomal protein L23a ","GO:0005829 Cytosol","Non-Exosome"
"P62753","RPS6","40S ribosomal protein S6 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62805","HIST1H4A","Histone H4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O95716","RAB3D","Ras-related protein Rab-3D ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q96E17","RAB3C","Ras-related protein Rab-3C ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q5JT25-2","RAB41","Isoform 2 of Ras-related protein Rab-41 ","","Non-Exosome"
"E9PLD0","RAB1B","Ras-related protein Rab-1B ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q92928","RAB1C","Putative Ras-related protein Rab-1C ","GO:0005886 Plasma Membrane","Non-Exosome"
"P51159","RAB27A","Ras-related protein Rab-27A ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q6IQ22","RAB12","Ras-related protein Rab-12 ","","Non-Exosome"
"P20340-2","RAB6A","Isoform 2 of Ras-related protein Rab-6A ","","Non-Exosome"
"Q8WUD1","RAB2B","Ras-related protein Rab-2B ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P20339","RAB5A","Ras-related protein Rab-5A ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P51148-2","RAB5C","Isoform 2 of Ras-related protein Rab-5C ","GO:0005886 Plasma Membrane","Non-Exosome"
"P51153","RAB13","Ras-related protein Rab-13 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P61006","RAB8A","Ras-related protein Rab-8A ","GO:0005886 Plasma Membrane","Non-Exosome"
"P61019-2","RAB2A","Isoform 2 of Ras-related protein Rab-2A ","","Non-Exosome"
"P61026","RAB10","Ras-related protein Rab-10 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P61106","RAB14","Ras-related protein Rab-14 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P61225","RAP2B","Ras-related protein Rap-2b ","GO:0005886 Plasma Membrane","Exosome"
"P61586","RHOA","Transforming protein RhoA ","GO:0005886 Plasma Membrane","Non-Exosome"
"P62820","RAB1A","Ras-related protein Rab-1A ","","Non-Exosome"
"Q15286","RAB35","Ras-related protein Rab-35 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q8IXI1","RHOT2","Mitochondrial Rho GTPase 2 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Exosome"
"Q92930","RAB8B","Ras-related protein Rab-8B ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9BZG1","RAB34","Ras-related protein Rab-34 ","","Non-Exosome"
"Q9H0U4","RAB1B","Ras-related protein Rab-1B ","GO:0005886 Plasma Membrane","Non-Exosome"
"F5H018","RAN","GTP-binding nuclear protein Ran (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"H0YFC6","RAN","GTP-binding nuclear protein Ran (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62826","RAN","GTP-binding nuclear protein Ran ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62829","RPL23","60S ribosomal protein L23 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62851","RPS25","40S ribosomal protein S25 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"H7C5J5","GNB4","Guanine nucleotide-binding protein subunit beta-4 (Fragment) ","","Non-Exosome"
"P62873-2","GNB1","Isoform 2 of Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P62879","GNB2","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 ","","Non-Exosome"
"P62888","RPL30","60S ribosomal protein L30 ","GO:0005829 Cytosol","Non-Exosome"
"P62899","RPL31","60S ribosomal protein L31 ","GO:0005829 Cytosol","Non-Exosome"
"P62910","RPL32","60S ribosomal protein L32 ","GO:0005829 Cytosol","Non-Exosome"
"P62913-2","RPL11","Isoform 2 of 60S ribosomal protein L11 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62917","RPL8","60S ribosomal protein L8 ","GO:0005829 Cytosol","Non-Exosome"
"F5H284","PPIAL4D","Peptidyl-prolyl cis-trans isomerase A-like 4D ","","Non-Exosome"
"P62937","PPIA","Peptidyl-prolyl cis-trans isomerase A ","GO:0005829 Cytosol","Non-Exosome"
"P62942","FKBP1A","Peptidyl-prolyl cis-trans isomerase FKBP1A ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005829 Cytosol","Exosome"
"P62979","RPS27A","Ubiquitin-40S ribosomal protein S27a ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Exosome"
"P62993-2","GRB2","Isoform 2 of Growth factor receptor-bound protein 2 ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol","Non-Exosome"
"P17081","RHOQ","Rho-related GTP-binding protein RhoQ ","GO:0005886 Plasma Membrane","Exosome"
"P60763","RAC3","Ras-related C3 botulinum toxin substrate 3 ","","Exosome"
"P15153","RAC2","Ras-related C3 botulinum toxin substrate 2 ","","Exosome"
"P60953","CDC42","Cell division control protein 42 homolog ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"P63000-2","RAC1","Isoform B of Ras-related C3 botulinum toxin substrate 1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"P84095","RHOG","Rho-related GTP-binding protein RhoG ","GO:0005886 Plasma Membrane","Non-Exosome"
"P63010-2","AP2B1","Isoform 2 of AP-2 complex subunit beta ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q10567-2","AP1B1","Isoform B of AP-1 complex subunit beta-1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P63167","DYNLL1","Dynein light chain 1; cytoplasmic ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q96FJ2","DYNLL2","Dynein light chain 2; cytoplasmic ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P63173","RPL38","60S ribosomal protein L38 ","GO:0005829 Cytosol","Non-Exosome"
"P63208","SKP1","S-phase kinase-associated protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P63220","RPS21","40S ribosomal protein S21 ","GO:0005829 Cytosol","Non-Exosome"
"Q6IS14","EIF5AL1","Eukaryotic translation initiation factor 5A-1-like ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P63241-2","EIF5A","Isoform 2 of Eukaryotic translation initiation factor 5A-1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P63244","GNB2L1","Guanine nucleotide-binding protein subunit beta-2-like 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"C9J5V9","YBX1","Nuclease-sensitive element-binding protein 1 (Fragment) ","","Non-Exosome"
"P67809","YBX1","Nuclease-sensitive element-binding protein 1 ","","Non-Exosome"
"P67812-2","SEC11A","Isoform 2 of Signal peptidase complex catalytic subunit SEC11A ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P06276","BCHE","Cholinesterase ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"P68104","EEF1A1","Elongation factor 1-alpha 1 ","GO:0005829 Cytosol","Non-Exosome"
"Q05639","EEF1A2","Elongation factor 1-alpha 2 ","","Non-Exosome"
"M0QYM7","TUBB4A","Tubulin beta-4A chain (Fragment) ","","Non-Exosome"
"E9PBJ4","TUBB","Tubulin beta chain ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P04350","TUBB4A","Tubulin beta-4A chain ","","Non-Exosome"
"Q9H4B7","TUBB1","Tubulin beta-1 chain ","","Non-Exosome"
"P07437","TUBB","Tubulin beta chain ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P68371","TUBB4B","Tubulin beta-4B chain ","","Non-Exosome"
"Q13509","TUBB3","Tubulin beta-3 chain ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9BUF5","TUBB6","Tubulin beta-6 chain ","","Non-Exosome"
"P68400","CSNK2A1","Casein kinase II subunit alpha ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"P68431","HIST1H3A","Histone H3.1 ","","Non-Exosome"
"E9PEW8","HBD","Hemoglobin subunit delta (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"P68871","HBB","Hemoglobin subunit beta ","GO:0005829 Cytosol","Non-Exosome"
"P69849","NOMO3","Nodal modulator 3 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P02008","HBZ","Hemoglobin subunit zeta ","GO:0005829 Cytosol","Exosome"
"G3V1N2","HBA2","HCG1745306; isoform CRA_a ","GO:0005829 Cytosol","Exosome"
"P69905","HBA1","Hemoglobin subunit alpha ","GO:0005829 Cytosol","Exosome"
"Q99650-2","OSMR","Isoform 2 of Oncostatin-M-specific receptor subunit beta ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q99650","OSMR","Oncostatin-M-specific receptor subunit beta ","GO:0005886 Plasma Membrane","Non-Exosome"
"P78344-2","EIF4G2","Isoform 2 of Eukaryotic translation initiation factor 4 gamma 2 ","","Non-Exosome"
"P78347-2","GTF2I","Isoform 2 of General transcription factor II-I ","","Non-Exosome"
"P78371-2","CCT2","Isoform 2 of T-complex protein 1 subunit beta ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P78386","KRT85","Keratin; type II cuticular Hb5 ","","Non-Exosome"
"P78417","GSTO1","Glutathione S-transferase omega-1 ","","Non-Exosome"
"P78504","JAG1","Protein jagged-1 ","GO:0005886 Plasma Membrane","Exosome"
"Q96EQ8","RNF125","E3 ubiquitin-protein ligase RNF125 ","","Non-Exosome"
"P78527","PRKDC","DNA-dependent protein kinase catalytic subunit ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P80303-2","NUCB2","Isoform 2 of Nucleobindin-2 ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P80723","BASP1","Brain acid soluble protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P82675","MRPS5","28S ribosomal protein S5; mitochondrial ","","Non-Exosome"
"O15198-2","SMAD9","Isoform B of Mothers against decapentaplegic homolog 9 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P84022","SMAD3","Mothers against decapentaplegic homolog 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"J3QL15","RPL19","Ribosomal protein L19 (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"P84098","RPL19","60S ribosomal protein L19 ","GO:0005829 Cytosol","Non-Exosome"
"P98088","MUC5AC","Mucin-5AC (Fragments) ","GO:0031012 Extracellular Matrix","Exosome"
"Q9HC84","MUC5B","Mucin-5B ","","Exosome"
"P98160","HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein ","","Non-Exosome"
"Q00059","TFAM","Transcription factor A; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q00325-2","SLC25A3","Isoform B of Phosphate carrier protein; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P53675","CLTCL1","Clathrin heavy chain 2 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q00610-2","CLTC","Isoform 2 of Clathrin heavy chain 1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q00688","FKBP3","Peptidyl-prolyl cis-trans isomerase FKBP3 ","","Non-Exosome"
"Q00765","REEP5","Receptor expression-enhancing protein 5 ","","Non-Exosome"
"Q5SNV9-2","C1orf167","Isoform 2 of Uncharacterized protein C1orf167 ","","Non-Exosome"
"Q00839-2","HNRNPU","Isoform Short of Heterogeneous nuclear ribonucleoprotein U ","","Non-Exosome"
"Q01082","SPTBN1","Spectrin beta chain; non-erythrocytic 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q01433-2","AMPD2","Isoform Ex1A-2-3 of AMP deaminase 2 ","","Non-Exosome"
"Q01518-2","CAP1","Isoform 2 of Adenylyl cyclase-associated protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q01628","IFITM3","Interferon-induced transmembrane protein 3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q01650","SLC7A5","Large neutral amino acids transporter small subunit 1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P17858","PFKL","ATP-dependent 6-phosphofructokinase; liver type ","GO:0005829 Cytosol","Non-Exosome"
"Q01813","PFKP","ATP-dependent 6-phosphofructokinase; platelet type ","GO:0005829 Cytosol","Non-Exosome"
"Q01973","ROR1","Tyrosine-protein kinase transmembrane receptor ROR1 ","GO:0005886 Plasma Membrane","Exosome"
"Q02218-2","OGDH","Isoform 2 of 2-oxoglutarate dehydrogenase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9H583","HEATR1","HEAT repeat-containing protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q02241","KIF23","Kinesin-like protein KIF23 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q13332-2","PTPRS","Isoform PTPS-MEA of Receptor-type tyrosine-protein phosphatase S ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q02241-2","KIF23","Isoform 2 of Kinesin-like protein KIF23 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q02252-2","ALDH6A1","Isoform 2 of Methylmalonate-semialdehyde dehydrogenase [acylating]; mitochondrial ","","Non-Exosome"
"Q02543","RPL18A","60S ribosomal protein L18a ","GO:0005829 Cytosol","Non-Exosome"
"P36507","MAP2K2","Dual specificity mitogen-activated protein kinase kinase 2 ","GO:0005829 Cytosol","Non-Exosome"
"Q02750","MAP2K1","Dual specificity mitogen-activated protein kinase kinase 1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q02790","FKBP4","Peptidyl-prolyl cis-trans isomerase FKBP4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q02809","PLOD1","Procollagen-lysine;2-oxoglutarate 5-dioxygenase 1 ","","Non-Exosome"
"Q02818","NUCB1","Nucleobindin-1 ","","Non-Exosome"
"Q02978","SLC25A11","Mitochondrial 2-oxoglutarate/malate carrier protein ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q03135-2","CAV1","Isoform 2 of Caveolin-1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q03135","CAV1","Caveolin-1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q03405","PLAUR","Urokinase plasminogen activator surface receptor ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q04206-2","RELA","Isoform 2 of Transcription factor p65 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"Q6MZP7-2","LIN54","Isoform 2 of Protein lin-54 homolog ","","Non-Exosome"
"O43432-3","EIF4G3","Isoform 3 of Eukaryotic translation initiation factor 4 gamma 3 ","","Non-Exosome"
"Q04637-3","EIF4G1","Isoform B of Eukaryotic translation initiation factor 4 gamma 1 ","GO:0005829 Cytosol","Non-Exosome"
"Q04837","SSBP1","Single-stranded DNA-binding protein; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"O94808","GFPT2","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 ","","Non-Exosome"
"Q06210-2","GFPT1","Isoform 2 of Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 ","","Non-Exosome"
"Q06323-2","PSME1","Isoform 2 of Proteasome activator complex subunit 1 ","GO:0005829 Cytosol","Non-Exosome"
"Q07020","RPL18","60S ribosomal protein L18 ","GO:0005829 Cytosol","Non-Exosome"
"Q07021","C1QBP","Complement component 1 Q subcomponent-binding protein; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0005886 Plasma Membrane","Non-Exosome"
"Q07065","CKAP4","Cytoskeleton-associated protein 4 ","","Non-Exosome"
"Q07955-2","SRSF1","Isoform ASF-2 of Serine/arginine-rich splicing factor 1 ","","Non-Exosome"
"Q07960","ARHGAP1","Rho GTPase-activating protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q08209-2","PPP3CA","Isoform 2 of Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform ","GO:0005829 Cytosol","Non-Exosome"
"Q08211","DHX9","ATP-dependent RNA helicase A ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q08257","CRYZ","Quinone oxidoreductase ","","Non-Exosome"
"Q08380","LGALS3BP","Galectin-3-binding protein ","GO:0031012 Extracellular Matrix","Exosome"
"Q08431-3","MFGE8","Isoform 3 of Lactadherin ","GO:0005886 Plasma Membrane","Exosome"
"Q08431","MFGE8","Lactadherin ","GO:0005886 Plasma Membrane","Exosome"
"Q06278","AOX1","Aldehyde oxidase ","","Non-Exosome"
"Q08722-2","CD47","Isoform OA3-293 of Leukocyte surface antigen CD47 ","GO:0005886 Plasma Membrane","Exosome"
"Q08945","SSRP1","FACT complex subunit SSRP1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q08AM6","VAC14","Protein VAC14 homolog ","GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane","Non-Exosome"
"Q08J23-2","NSUN2","Isoform 2 of tRNA (cytosine(34)-C(5))-methyltransferase ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q09161","NCBP1","Nuclear cap-binding protein subunit 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"Q09666","AHNAK","Neuroblast differentiation-associated protein AHNAK ","","Non-Exosome"
"Q10469","MGAT2","Alpha-1;6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase ","","Non-Exosome"
"Q12769","NUP160","Nuclear pore complex protein Nup160 ","","Non-Exosome"
"Q12797-10","ASPH","Isoform 10 of Aspartyl/asparaginyl beta-hydroxylase ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"H3BMK2","STX4","Syntaxin-4 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Exosome"
"Q12846","STX4","Syntaxin-4 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"Q12874","SF3A3","Splicing factor 3A subunit 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q12906-2","ILF3","Isoform 2 of Interleukin enhancer-binding factor 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q12907","LMAN2","Vesicular integral-membrane protein VIP36 ","","Non-Exosome"
"Q12913","PTPRJ","Receptor-type tyrosine-protein phosphatase eta ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q12979-2","ABR","Isoform Short of Active breakpoint cluster region-related protein ","GO:0005829 Cytosol","Non-Exosome"
"Q13045-2","FLII","Isoform 2 of Protein flightless-1 homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q13085-2","ACACA","Isoform 2 of Acetyl-CoA carboxylase 1 ","","Non-Exosome"
"Q13148","TARDBP","TAR DNA-binding protein 43 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q13162","PRDX4","Peroxiredoxin-4 ","","Non-Exosome"
"Q13177","PAK2","Serine/threonine-protein kinase PAK 2 ","GO:0005829 Cytosol","Non-Exosome"
